,Unnamed: 0,Unnamed: 0.1,tweet_id,text,missing_text,Text_Only_Informative,Image_Only_Informative,Directed_Hate,Generalized_Hate,Sarcasm,Allegation,Justification,Refutation,Support,Oppose
0,0,0,1052237153789390853,new post domestic violence awareness caught metoo new york time published might get fit ,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1052207832081129472,domestic violence awareness caught metoo ,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2,2,1052183746344960000,mother nature metoo ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,1052156864840908800,ption no2 ,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,4,4,1052095305133510656,high time metoo named shamed men medium advertising across india mumbrella asia ,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,5,5,1052046529320640512, idea persistence involves systematically ignoring signal queue admitted person le important want ut student olivia consent metoo podcast series ,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6,6,6,1052013663115083776,ption no2 ,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
7,7,7,1051986424617041920,meredith metoo moment theoffice ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,1051983768418828288,interesting analysis theeconomist change perception metoo movement year among american voter break along partisan line ,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9,9,9,1051939199195045890,shock hey old bill clear amp every single imwithher metoo moron swallow huge pile shit without single gag hypocrite ,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,10,10,1051819926795608065,wonder else hillaryclinton think lust love metoo ,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
11,11,11,1051816186516664320,richcraigfletch terrolllewis danielslaney bet saw coming put bag purpose obviously parent never taught bad cry wolf people like entirely blame system sceptical towards woman come forward worldmentahealthday believeallwomen metoo ,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
12,12,12,1051736964779692032,day million tweet one powerful movement today mark one year since metoo went viral sexual amp genderbased violence human right violation committed ending ,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,13,1051735650481758208,nsw police officer mitchell willey could kicked force admitting groped woman defqon dance festival penrith last year lawyer argued criminal conviction saying constable punished metoo movement 7news ,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,14,14,1051716586464133120,poor kid uspolitics auspol ukpol metoo timesup ,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15,15,15,1051712932143198208,nsw police officer mitchell willey could kicked force admitting groped woman defqon dance festival penrith last year lawyer argued criminal conviction saying constable punished metoo movement 7news ,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16,16,16,1051702256079233025,daniries metoo literally ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,17,1051674207749210113,falsefly jenniferlar0 grot familiar type individual meet chloeingramm chloe ingram metoo falseallegations ,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18,18,18,1051667796684197888,ption no2 ,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,19,19,1051661466837901313,day million tweet one powerful movement today mark one year since metoo went viral sexual amp genderbased violence human right violation committed ending ,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,20,20,1051646807980171264,ption no2 ,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,21,21,1051645755901927424,ption no2 ,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22,22,22,1051627074492882944,sometimes unintentionally hurt others failing consideration feeling wish right important acknowledge although intention sorry pain action caused sexualviolenceawarenessmonth respect metoo ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,23,1051600944805212162,one year amp million tweet later today mark year viral metoo movement thank sharing story alone sexual amp genderbased violence human right violation committed ending ,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,24,24,1051600162068430848,go abcbrisbane abcbrisbane radio talk metoo year ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,25,1051385677730832384,attitude political party tamil nadu making statement disgusting metoo issue suppressing victim sure union govt bring appropriate measure safeguard workplace harrassment ,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
26,26,26,1051356183402033152,himtoo attempt criticize metoo went delightfully wrong ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,27,1051297087722205184,bit break went beautiful port macquarie nearby area absolutely stunning usual beautiful metoo australia auspol ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
