TweetId,Text_Only_Informative,Image_Only_Informative,Directed_Hate,Generalized_Hate,Sarcasm,Allegation,Justification,Refutation,Support,Oppose
1052237153789390853,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1052207832081129472,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1052183746344960000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1052156864840908800,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1052095305133510656,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1052046529320640512,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1052013663115083776,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1051986424617041920,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051983768418828288,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1051939199195045890,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1051819926795608065,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1051816186516664320,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1051736964779692032,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051735650481758208,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1051716586464133120,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1051712932143198208,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1051702256079233025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051674207749210113,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1051667796684197888,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1051661466837901313,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1051646807980171264,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1051645755901927424,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1051627074492882944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051600944805212162,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1051600162068430848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051385677730832384,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1051356183402033152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051297087722205184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051227851284873217,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1051128695434268672,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1051116831874928640,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1051071752971870208,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1050892973179727872,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1050811961011838977,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1050593516592615424,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1050498919321485313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050489314604281856,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1050327679948312576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050204937278259200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1050195702725242880,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
1050191693629124608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050187932601061377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1050181727061192704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050181569682399232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050180802904961024,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1050167699731431424,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050146297829675008,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1049992712122859520,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1049982144603463680,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1049973389425664000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049973338372632578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049973272354275328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049930526314782720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1049928978675298304,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1049915647508000768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049911438419070977,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1049884550879502336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049819542023626752,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1049816192444186624,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1049808211534958592,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1049804220696748033,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1049775000352251904,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1049626371268403200,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1049599895579979776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1049598924632145920,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1049583585781411840,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1049562731257286659,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1049549716919222272,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1049547532169183235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1049520108094324737,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1049506503479058441,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1049503570582618112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049500897951264768,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1049485928014598145,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1049459731733991424,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1049455294957252609,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1049452586867322880,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1049452243651420160,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
